Name,Review,OverAll,Food,Service,Ambience,Date
OpenTable Diner,￼ best rooftop bar in the city. Great location and great drinks.,5,5,5,5,"Dined on April 14, 2024"
OpenTable Diner,Went there to eat recently and everything was delicious! Our server Meleny was fabulous! Overall a great experience :),5,5,5,5,"Dined on April 13, 2024"
TihishaR,Nice vibe and friendly staff! Would definitely recommend.,5,5,5,5,"Dined on April 13, 2024"
mariod,"Great experience l, cool vibe. Repeat visit. Very pleased overall.",5,4,4,5,"Dined on April 10, 2024"
LizcC,"Host could not find our reservation for more than 30 mins just had just standing there while she was helping other people finally sits us at a small corner table 
We sat there for 20 mins no server ever came we didn’t even get menus",1,1,1,4,"Dined on April 9, 2024"
OpenTable Diner,A little pricey but really nice for the pictures and to have a good time with friends,5,5,5,5,"Dined on April 8, 2024"
RickM,"food is really good and not too expensive
Roof top is a bit misleading is more like a covered patio (the sliding roof was not open for us
the music is too loud to have a conversation. Volume level is fine for a club but not for dinner",4,5,5,4,"Dined on April 8, 2024"
JaimeT,Nice vibe. Was not crowded for a Sat night. The DJ could’ve been better honestly…the crowd overall had low energy due to the music. More hits could’ve been played. But my girls well had a good time.,5,3,5,5,"Dined on April 7, 2024"
xchal,Photo booth was not working and staff told us it's not their problem. service was so poor- took over 20 mins for waitress to even approach us and an extra 30 mins after that for our drinks to arrive- wasn't even busy..,1,1,1,4,"Dined on April 7, 2024"
eugenep,We had a ball. Me and my wife will probably visit everytime we visit NY.,5,5,5,5,"Dined on April 6, 2024"
OpenTable Diner,"Our first experience was great, had a fun time. We went for date night. Kinda wished they had more of a selection for appetizers because they aren’t sharing as appetizers would. Mind you the fries with param cheese, sliders were amazing!! But 3 sliders for $22 is kinda a stretch lol. The drinks are $15+ but they were worth it because they were also yummmm. I wasn’t sure what to get but i’m into sweet so i tried the Moira Rose and loved! very good. smooth. will be going back soon <3",5,3,3,5,"Dined on April 6, 2024"
FabiolaC,"The food and atmosphere was amazing. Please try their parm fries and the sliders, you won't be disappointed. And the service was very quick. The wait staff was very good and you were guided throughout the lounge by bouncers. I really liked the service.",5,5,5,5,"Dined on April 6, 2024"
OpenTable Diner,It was a wonderful experience and so beautiful. It was nice to be there mid afternoon because you get to see everything. At night it’s very crowded and hard to move around and really see all the beautiful decor.,5,5,5,5,"Dined on April 2, 2024"
JenniferM,"More food options; the menu is not inclusive to vegetarians, there wasn't even a seafood option.",3,2,5,5,"Dined on April 1, 2024"
OpenTable Diner,"Brunch exceeded my expectations for my daughter’s 15th bday. Aesthetically it was so beautiful. Service was great, the dj had it at just the right level to talk and enjoy the rooftop. This place is outstanding.",5,4,5,5,"Dined on March 31, 2024"
JessicaC,Such a vibe! My kids enjoyed it too! The drinks were stout and the food was creative !,5,4,4,5,"Dined on March 31, 2024"
JenJenei,"My daughter had a great time. Beautiful location, good food, great service… will be visiting again soon.",5,4,5,5,"Dined on March 31, 2024"
OpenTable Diner,"Horrible experience from start to finish. Hostess ignored me twice while assisting “more important “ looking patrons. After waiting for almost two hours, I received a table only to be ignored by the waitress. Finally I was able to place and order. The waitress took over 20 minutes to put in the order causing me to miss the menu cutoff, after 10pm is only late night! I got frustrated and left! Will never come back here!!!!",1,1,1,5,"Dined on March 31, 2024"
MCMG,Perfect fancy brunch treat for my daughter’s 18th birthday!,5,5,5,5,"Dined on March 31, 2024"
BeaS,I can not recommend the place. Food and drinks are not good but pricy.,2,1,3,2,"Dined on March 30, 2024"
OpenTable Diner,"The vibe and decor is fun and that’s why we came. It was during brunch time. The sandwich I had was fine, nothing stellar, a bit dry. The omelet she had was also middle of the road. Neither was a value necessarily. The Moira Rose was a fun and tasty cocktail. Donuts were good, unique taste, a bit pricey. Didn’t see our server much. Refills of water were hard to come by for us and neighboring table.  Glad we went, some fine tuning and we would come back.",4,3,3,5,"Dined on March 30, 2024"
OpenTable Diner,"Disappointed visit!
Cupcake was all icing.
Disappointing cocktails",2,1,1,3,"Dined on March 30, 2024"
RBMom,Great experience was disappointed that they took the grilled cheese off the menu -,5,3,5,5,"Dined on March 29, 2024"
ClaraF,"Super unfriendly staff, happy hour drinks not good, made for people to take pictures, not enjoy drinks.",2,2,1,4,"Dined on March 26, 2024"
OpenTable Diner,I love my experience at magic hour I will definitely go back,5,5,5,5,"Dined on March 25, 2024"
CristianT,Amazing place and the food was very good alongside the staff was very professional and the views of Empire State Building was perfect.,5,5,5,5,"Dined on March 24, 2024"
SuzetteB,This was my 2nd time here & I can't wait to come back again. I love everything about this place. LOVE LOVE LOVE,5,5,5,5,"Dined on March 24, 2024"
Morgan,Olivia really set this restaurant apart from the others while visiting NYC on spring break. Service was quick and we were checked on often. Olivia listened to us and gave great recommendations. I hope when I return I can see Olivia again!,5,4,5,5,"Dined on March 24, 2024"
OpenTable Diner,"To begin, we stayed at the Moxy Hotel yet had to walk outside in the pouring rain to walk through an outside door when the elevator inside the hotel went straight to the restaurant. The greeter was so confused by a large group that I think she put wristbands on everyone who continued to enter the building until I stepped in and let her know we had a reservation. Then, she didn’t give us wristbands, said we didn’t need them, which became a problem once we went upstairs. Anyone and everyone we encountered at the Rooftop Bar was disorganized and/or rude. Our table was broken and it took a few uncomfortable requests for them to seat us at one of their other *many empty tables. The QR code didn’t work on my phone or my tech savvy daughter’s. Acting completely put out, they brought us a paper version of the dinner menu instead of one for brunch. (I would have left at this point, or sooner, but my teenage daughter was very much looking forward to this pink experience for her birthday.) We pieced together ideas for our order (since no one could find a menu for us). My daughter watched as servers brought pink pancakes with giant sparklers on top. We ordered the pancakes, pink donuts, and a side of bacon. When the pancakes were brought over, I asked why a sparkler wasn’t included on ours. She incredulously asked, “You want to put it on now?” I replied that we would since it was my daughter’s birthday. (My daughter was looking defeated at this point.) Seeing how long and befuddled everyone who worked there seemed during the ordering process, I asked for the check and explained that we had a show we wanted to catch so it would be easiest to have the freedom to leave as soon as we had finished. The server could not understand why we wanted the check so soon. The food was tasty, looked amazing, as did the restaurant, but it didn’t even matter at that point. The experience was an overpriced nightmare and this restaurant is one that I would NEVER recommend to anyone else.",1,4,1,3,"Dined on March 23, 2024"
OpenTable Diner,A very nice location to eat and drink sometime BUT it takes too long to get the order and it’s not worth for the quality,3,2,3,5,"Dined on March 23, 2024"
OpenTable Diner,Food was great. Music needed to be more upbeat and modern.  Waitress was good. Overall chill vibe .,5,5,4,4,"Dined on March 23, 2024"
OpenTable Diner,Awesome bar with views of the Empire State Building. Will be back in the summer for the open rooftop.,5,3,5,5,"Dined on March 23, 2024"
OpenTable Diner,"Instagramable place, very nice with nice views! Recommended",4,4,5,5,"Dined on March 23, 2024"
OpenTable Diner,"Great experience, the networking team was awesome as well shout out to Alex. Beautiful place and wonderful people and 10/10 service",5,4,5,5,"Dined on March 23, 2024"
OpenTable Diner,This was a really fun experience for my birthday. Loved all the pink and the donuts were delicious,5,5,3,5,"Dined on March 23, 2024"
OpenTable Diner,Service was sloooow. Awesome view. Fun atmosphere.,2,3,2,5,"Dined on March 18, 2024"
OpenTable Diner,"Love Magic Hour, I’ve celebrated many times here! They were very accommodating  for my group of 9,food was delicious as well as the drinks. Def recommend the Moira rose drink very addicting,  we had a great time and can’t wait to go back!",5,5,5,5,"Dined on March 17, 2024"
OpenTable Diner,"Very cute brunch spot with lots of photo opportunities. I know the brunch is open to all age groups but there were groups of children running around the carousel and screaming as if they were at the playground and not a restaurant/lounge. This was not addressed and definitely took away from the enjoyment of the experience as we really just wanted to have a nice brunch experience and not feel like it was the middle of recess at a daycare center. Otherwise, service was great and I always get the same plate which is delicious",3,3,5,5,"Dined on March 17, 2024"
OpenTable Diner,"Cute pink theme but the food was very ehhh.. I wouldn’t come back for food, just drinks and a vibe.",3,2,3,5,"Dined on March 17, 2024"
Shopper456,The check in process was extremely slow and disorganized. It was a very unpleasant experience.,4,4,3,4,"Dined on March 16, 2024"
OpenTable Diner,"Personal sehr unfreundlich ….
Extrem überteuert
Lustig erlebt zu habe, ist jedoch kein must",1,2,1,3,"Dined on March 16, 2024"
jojo,I went for my birthday! It was GREAT! Me and my husband had a good time!,5,4,4,5,"Dined on March 16, 2024"
OpenTable Diner,The wait was longer than expected from getting seated to getting our orders taken. But food and drink were good and vibes were nice.,4,4,3,4,"Dined on March 15, 2024"
OpenTable Diner,"Ratchet club, doesn't look anything like the pictures",1,1,1,1,"Dined on March 11, 2024"
NewYorkerLivingInLondon,"I unfortunately did not get to try the food, I was very surprised by the level of noise in this very small rooftop lounge, that was set up for a brunch on Saturdays and Sundays. The music was so loud, you could barely hear the host or server, did not make for a pleasant lunch on a Sunday afternoon, I and my guests left immediately after entering. Not ideal, will not be ever going back.",1,3,1,1,"Dined on March 10, 2024"
MassielM,Let’s start with the location. It’s absolutely stunning. Perfect for capturing beautiful pictures. This location is great for birthdays or bridal events. Now why I didn’t give it 5 stars? The service was absolutely horrible. We kept trying to get things and waited an hour for a glass of water. We got our food and one of friends waited half an hour for her fries. It came once she finished her entree. The food was mediocre but that is most expected when places look that good. Menu was very small and that’s fine if the food was good. The only thing I liked was my salad. Everyone else’s food was not good. A tip would be to improve the quality of the service at least and then working on the food. The best part was the photos!,3,2,1,5,"Dined on March 10, 2024"
OpenTable Diner,Fun night out. The Food and drinks were just okay.,4,2,4,5,"Dined on March 9, 2024"
OpenTable Diner,"Hermoso lugar,  buen ambiente, comida deliciosa y excelentes cocteles.
Atención increíble 🤗🤗🤗🤗",5,5,5,5,"Dined on March 9, 2024"
OpenTable Diner,Coat check and elevator attendee was very Kurt and rude- made an unwelcome impression before we made it to our table,3,5,2,5,"Dined on March 7, 2024"
ArletteB,The food was not the best at all. The service was however great.,5,1,5,5,"Dined on March 6, 2024"
OpenTable Diner,"There’s 2 areas for brunch. One is more of a lounge area and to eat food is not the best. We asked the hostess to sit us on side (right from hostess stand) where the carousel was and she told us she couldn’t. My party and I personally felt they put the minorities on the left/lounge side and the white folks on the restaurant side. I say this because after asking to be seated on the right. They told us no availability and they sat a group of white people who did not have reservations that was waiting behind us. Our waitress Maria seemed to be occupied. She never checked on us to see if we liked our food or if we needed refills on our mimosa’s. The food was yummy I had to toast, my friends has the breakfast platter with potatoes, bacon and then the sandwich. Which was super yummy. Not a big food selection if you aren’t with a group the “pink” food is a little overwhelming for a group of 4. So we did not try any of the pink brunch food.",2,3,1,5,"Dined on March 3, 2024"
OpenTable Diner,"I love this place, everything pink! The food is great and awesome customer service.",5,5,5,5,"Dined on March 2, 2024"
Lauren,"Nice ambiance, cool decor, would go back again when its warmer out",4,5,3,5,"Dined on March 2, 2024"
Notoldenough,It Sucks I would not recommend it !!!!!!!!!!!!!!!!,1,1,1,1,"Dined on March 2, 2024"
JanaeB,The place is nice an comfortable I feel like y’all should expand the menu with  more options of food,1,4,3,3,"Dined on February 25, 2024"
OpenTable Diner,"Loved it , the ambience , music was everything as well !!! Food could be better more choices lol for late night other than that highly recommen",5,3,5,5,"Dined on February 25, 2024"
OpenTable Diner,Absolutely loved this experience and would definitely go back! The atmosphere was really cool and the drinks and food were great.,5,5,5,5,"Dined on February 25, 2024"
juliew,"Pink AF Brunch. It was cute but meh...service was very slow, the brunch menu was limited for 'real' food. The pink food and drinks were fun but VERY pricey.",3,2,2,3,"Dined on February 25, 2024"
Magnificent,Second time always a vibe! The drinks were on point and the food and my pics came out so dope,5,5,5,5,"Dined on February 24, 2024"
OpenTable Diner,"Overpriced, watered down, overly sweet drinks were served in plastic cups and we’re convinced they contained barely any alcohol; music was so loud our waiter couldn’t even hear us to take our order; the actual outdoor rooftop part is closed and they won’t let you out there so no good views of the city or rooftop picture opportunities. Really didn’t feel like we were at a rooftop bar, super disappointing.",1,1,2,2,"Dined on February 24, 2024"
Rayne,The food is limited. Need more different food. Drinks are good.,5,3,5,5,"Dined on February 24, 2024"
Dana,"LOVE it!! Great food, decor, ambiance, and service.",5,5,5,5,"Dined on February 21, 2024"
AnnK,"This is just an place to take Instagram photos.  Food poor, not  full food menu. even smores dessert is pretty but was stale n cold, n hard. Not at all a smore!!",1,1,1,2,"Dined on February 21, 2024"
Sonali,Great place to take pics and see stunning views of NYC.,4,4,5,5,"Dined on February 20, 2024"
OpenTable Diner,Waitress was not attentive or knowledgeable. Waited a very long time before someone came over to ask us our order.,3,3,2,4,"Dined on February 19, 2024"
JoelC,Amazing drinks! Such a fun theme and the food from legasea is great.,5,5,5,5,"Dined on February 19, 2024"
OpenTable Diner,It is a very beautiful place but we did not like the food or drinks.,4,3,5,5,"Dined on February 19, 2024"
OpenTable Diner,"Bring your niece to brunch day!!!! It was expensive but absolutely adorable, with wonderful music, and a very festive atmosphere.",5,5,5,5,"Dined on February 19, 2024"
KristaC,Rude terrible elevator man for two happy birthday girls.  Terrible food I mean worst ever!  The tables are dirty and worn out.  It's perfect for posting pictures to hype up the business but not worth any amount of money.  If you are going there to drink then this place would be great.  Not a place for brunch!,1,1,1,4,"Dined on February 18, 2024"
OpenTable Diner,Nothing really special. Thought it would be a lot better looking at pictures.,2,3,2,3,"Dined on February 18, 2024"
ChrissyM,"The place was beautiful!!!
I was from out of town and I made reservations for the wrong time and she definitely corrected that for me which I was happy
Inside was gorgeous 
Waitress was nice
The food was ok, I got a breakfast sandwich and it was dry
My drink was awesome tho
Cinnamon roll lacked flavor and was also dry",4,2,4,3,"Dined on February 18, 2024"
OpenTable Diner,Seamless experience from checking in to dining experience. The ambiance was everything as well as the staff was very nice and hospitable. They even brought out a cupcake with a sparkler when I told them we were celebrating my friends birthday. For my second time being there and my friends first time we truly had an amazing time and would def come back again,5,5,5,5,"Dined on February 18, 2024"
OpenTable Diner,"We loved the decor and the ambience and especially the view. The drinks were good and the service was nice. The food was so so and the prices were as expected for a nightclub like this overall, we had a very enjoyable evening.",5,3,5,4,"Dined on February 18, 2024"
OpenTable Diner,Fun and pink! We enjoyed the music and atmosphere!!,5,3,4,5,"Dined on February 18, 2024"
MaeganB,"The ambiance lived up to the hype, but the food was beyond what I expected! It was soooo good! And the price isn’t bad. Definitely will be back when we return to NYC..",5,5,5,5,"Dined on February 17, 2024"
JessieP,"Went for brunch so my 17 year old niece could come too, I was worried it was a tourist trap and the food wouldn’t be good, but it was! And it’s soo cute. It’s expensive but it’s an experience",5,5,5,5,"Dined on February 17, 2024"
OpenTable Diner,Exactly what you expect. Food could have been better but was decent.,4,3,5,5,"Dined on February 17, 2024"
CelineW,"Amazing ambiance, expected more based on what is shown on social media but very cute lounge and bar. Food menu is limited but the options available were filling and presentation was nice. Would definitely return and recommend",5,5,5,5,"Dined on February 17, 2024"
OpenTable Diner,"What an enjoyable night at Magic Hour! We made our reservation only 30 minutes before, showed up a little early and the host was welcoming. The entire time I was there, I kept thinking what an awesome place this would be to take the gals for brunch some time. In the evenings, it’s a great place for a girls night out too. This establishment definitely knows its target audience — the drinks are so tasty and the decorations were great for a little photo op. All this being said, I went with my boyfriend here and we had an amazing time! We got a berry bubbly, party pouch, and the fix. Our server was so kind, she was very easygoing and polite! All in all, great experience and energy from everyone around us!",5,5,5,5,"Dined on February 17, 2024"
elphie,"amazing place, great food, great vibe and nice music",5,5,5,5,"Dined on February 15, 2024"
OpenTable Diner,"The place is extremely beautiful, the experience during Valentine’s Day got even better after the lovely welcome and was more the helpful with other details.",5,4,4,4,"Dined on February 15, 2024"
maria,"When we made the reservation, some very relevant points were not specified on the website. On the reservation website, each person would be entitled to 1 drink, however, when we got there we had no choice, the only option was a hot drink which we certainly wouldn't choose. The same thing happened with dessert, we couldn't choose. The dessert was cake, which wouldn't be our choice either as neither my boyfriend nor I really like cake. the main course was good but I didn't think it was anything special considering the price of the dinner. conclusion: horrible experience, we left there and went to another restaurant, we ate and drank much better for the same price. They should make it clearer on the booking website that the customer has no choice. I've never paid so much for such a bad experience, I wouldn't go back even for free.",1,1,2,4,"Dined on February 15, 2024"
Nish,"We had the best time for Galentine’s Day 💕, 3 of my friends and I !!!",5,5,5,5,"Dined on February 14, 2024"
StevieK,Great decor and that’s about the only good thing.,1,1,1,3,"Dined on February 12, 2024"
HandS,Very great service friendly attentive staff would definitely return.,5,5,5,5,"Dined on February 11, 2024"
DorothyS,Fun place. IG pics worthy.. food is just ok but I think most people go for the decor which did not disappoint.,4,3,3,5,"Dined on February 11, 2024"
OpenTable Diner,Food menu is lacking a lot. Their brunch menu does not even have coffee! They need to revamp this menu asap,3,2,2,4,"Dined on February 11, 2024"
DiegoH,"We ordered shared food, it took almost 1 hour to arrive, and it was average. We ordered calamari, chicken fingers (not fingers), and tortilla chips (it was good).

The cocktails are poorly served in plastic glassware and flavors were ok, expensive for the quality you receive over the price.

Ambient was ok, overrated for what you expect.",2,2,3,3,"Dined on February 11, 2024"
OpenTable Diner,The staff was friendly and the decor for Valentine Day was amazing!,5,5,5,5,"Dined on February 11, 2024"
CinV,"I was very underwhelmed with our experience. We brought the Galentines day experience package (the most expensive one). I noticed that the host kept asking if ppl had reservations which we did. I noticed that everyone with reservations were going to the entrance on the right, and for some reason I went to the left, which was less decorated, and everyone was more casual, which I felt overdressed. I did however, ask my server if we were able to switch sides because we did buy a package and we were here for the experience. She was lovely and let her manager know that we wanted to be seated in the other area which they were very nice and accommodated. We proceeded to tell our new server that we had a package we showed her on our phone and she went on to say that she had to check for herself which she came back and confirmed that we did indeed have a package. We asked her what it included, which she proceeded to tell us. Our drink that was included was basically champagne with a little cotton candy which was selling for $25 which was insane. We had a small plate which I got the truffle grilled cheese, tasted OK which came with the tomato soup now this is where I had the issue the menu said that it came with gruyere cheese but my cheese was yellow and gruyere cheese is white. The manager proceeded to tell me they mix cheddar and Swiss to MAKE gruyere cheese. Which should of been stated on the menu they weren’t actually using gruyere cheese which is why I wanted it and let’s not get started on the stab cake which was 90% frosting (which tasted grossed). When we did get to the cake it was ok. The experience definitely wasn’t worth the $95pp we paid. Which included tax and gratitude before the service which is possible why the service wasn’t above and beyond. Wouldn’t do another experience there again. And if you’re gonna have an experience for a certain holiday, you should up your dress code.  I’ve been here before and I’ve had a great experience on a regular night.",3,2,2,2,"Dined on February 11, 2024"
janel,My boyfriend and I had a great time. We had a chance to enjoy the scenery on the roof top and took lots of photos near the cute mini golf course. Will definitely go again🤗.,5,5,5,5,"Dined on February 10, 2024"
InezB,Fun place to go with the girls! Definitely recommend!,5,5,5,5,"Dined on February 10, 2024"
OpenTable Diner,It was perfect for a girls night out. We had a great timer and would come back again,5,4,5,5,"Dined on February 10, 2024"
YeniferH,"nice view, , honestly I don’t like the food and the drinks was horrible. pretty place for pictures nothing else.",2,1,2,2,"Dined on February 10, 2024"
Bobaperc,"There’s more to this review but I can’t fit it all so all I have to say is, THERE WAS A BUG IN OUR DRINK!",1,1,1,1,"Dined on February 10, 2024"
OpenTable Diner,"excellent place, incredible appetizer, very good attention, recommended to 💯😍😍",5,5,5,5,"Dined on February 10, 2024"
OpenTable Diner,"La asignación de mesas mala, servicio lento. La comida estuvo rica",1,1,1,2,"Dined on February 9, 2024"
OpenTable Diner,It was our first time and we could not have enjoyed it more!,5,5,5,5,"Dined on February 7, 2024"
OpenTable Diner,Perfect spot for a girls night out! Great view and fun times,5,3,4,5,"Dined on February 4, 2024"
OpenTable Diner,"Except for the worker in the hallway entrance after the coat check by the elevators yelled and acted exasperated while ￼giving instructions on how to get to the rooftop, everything else was nice. He was working on Feb 3rd at 5 pm. I don’t think I’ll go back because of that.",2,5,5,5,"Dined on February 4, 2024"
AquilaH,"I had an excellent experience with the hostess, Bartender, Waitress and other staff. My friend and I had such a good experience.  
I am definitely coming back with more people. I also posted videos and pictures from the rooftop. Everyone been asking me about this place.",5,5,5,5,"Dined on February 3, 2024"
OpenTable Diner,This was my 3rd time and it’s always an awesome experience!,5,5,5,5,"Dined on February 3, 2024"
OpenTable Diner,Very neat and cute experience!! Would definitely visit again.,5,5,5,5,"Dined on February 2, 2024"
Ale1,Came back for my birthday and had a great night!!!,5,5,5,5,"Dined on February 1, 2024"
KatieL,"10/10 recommend. the servers were great, very fast. they offered to take pictures for us throughout the night. they made sure we made it to each photo op. drinks were delicious. the vibe is amazing, a must see for sure!",5,4,5,5,"Dined on January 31, 2024"
Chrisb,"The servers were not attentive—had to request water several times. The menu item was described as “home fries + vegetable + protein” but in reality was primarily a salad with a few sautéed vegetables and about 3 potatoes.
Beautiful venue and ambiance— but not for the food.",3,2,1,5,"Dined on January 29, 2024"
Jason,"Restaurant looks great and the view is amazing. Food was ok, but nothing special at all. 

That said, every bit of staff I had to speak with that wasn't my waitress or coat check person was completely terrible to interact with. The attitude of the staff was shocking especially the person who watches the elevator. I realize it was a Saturday at 7pm in NYC, but wow. I am a polite, paying customer. Yikes. Every male in this restaurant is unbelievably rude and is enough that I won't ever be returning here.",2,3,1,5,"Dined on January 28, 2024"
KristiM,"Slow service. Beautifully decorated in some areas but was sat in the back like peasants, even though I made the reservation two weeks prior.￼ It may be a rooftop bar but you can’t see anything from the top. No views whatsoever. Very loud! It’s more of a young hip bar.",2,2,1,3,"Dined on January 28, 2024"
OpenTable Diner,Amazing vibe great drinks and service. Table service was great,5,5,5,5,"Dined on January 27, 2024"
OpenTable Diner,"The side of the bar that has the carousel was closed for a private event, so what really makes this place special was not an option during our reservation. The drink menu was unnecessarily confusing and drink options were lacking but we did like the deserts.",4,4,4,5,"Dined on January 27, 2024"
OpenTable Diner,"It was a great experience the night we attended. Food was good. Service was okay. It wasn’t very busy the night we were there.

I was unfortunately disappointed in the way my friend was treated the following day. She went back to the establishment looking for a gift which she left on accident. Although it was her responsibility. The restaurant restricted her for even going to look for it. Like we didn’t just spend money with them the night before. That left a bad taste in my mouth. The restaurant wasn’t busy. They could’ve at least allowed her to take a look around.",5,4,3,4,"Dined on January 26, 2024"
DianelaE,I love the environment and the drinks. It has a beautiful view.,5,4,5,5,"Dined on January 26, 2024"
VanessaM,Super cute 🥰 loved the decorations. Food was good. Loved the hot chocolate. Drinks were good.,5,5,5,5,"Dined on January 25, 2024"
Chokiepoo,"Small food selection but chicken from Legasea was yummy and pancakes were enough to feed a whole village. Wine bottles were 25% off that day. They forgot to give us the discount but credited us extra when we complained about it. The only real complaint I have is that the hotel guests had to go outside the hotel and around the corner to fall back in line at the same elevator we came from. You’d think hotel guests with reservations would get a bit of a special treatment, but maybe I expected too much.",5,5,5,5,"Dined on January 24, 2024"
ShivaniB,"Beautiful Decor, food was scrumptious, get the Moira rose",5,5,5,4,"Dined on January 23, 2024"
JosephineL,"Completely over hyped. Mediocre decor and basic food. However, staff was AMAZING and so helpful and kind!",3,2,5,2,"Dined on January 21, 2024"
CrystalS,Overall the food and atmosphere was great. However the sitting place was very close together for a large party. If you tried to get up you would bump the table next to you. Our server was missing most of the service so other people where having to assist us and most of them brought one thing and would walk off before we could get our order corrected. I would also recommend going when brunch first opens because our reservation was at two but we were being rushed to leave which was crazy to me because we didn't receive all the items that where ordered.,4,3,1,3,"Dined on January 21, 2024"
OpenTable Diner,"everything was
wonderful  i cannot  complain. Drinks was amazing.",5,5,5,5,"Dined on January 20, 2024"
DionM,This place is a must see experience. Keep it grown & sexy.,5,5,5,5,"Dined on January 20, 2024"
OpenTable Diner,The ambience is pretty to take photos. We didn’t get drinks but those also seemed good based on what we saw. The food was not as good as we had hoped.,4,3,4,4,"Dined on January 15, 2024"
OpenTable Diner,La experiencia estuvo muy buena. El personal muy amable y todo bonito,5,5,5,5,"Dined on January 15, 2024"
MaddieM,"Overpriced drinks and food. My $20 gin drink had a frozen ""gin"" cube but gin doesn't freeze so there can't have been more than a drop in it. The server spilled some of my drink on me and brushed past it. You get a nice view of the Empire State building but there are better venues.",2,3,2,3,"Dined on January 15, 2024"
OpenTable Diner,"It was good only for one visit, i wouldn’t go there again. Not so exciting as in pictures. Music was so loud that we were screaming to each other. Food didn’t try becouse my friends didn’t recommended, tried only some cupcake, not bad. I couldn’t feel alcohol in my Cocktail at all, was to syrupy. Service was really good. So its good for pictures, but otherwise not my favorites list.",3,4,5,3,"Dined on January 15, 2024"
RosemaryD,One of the best places I’ve been too in awhile. Great atmosphere and the music was awesome. The drinks and small plates were delicious. Definitely going back soon.,5,5,5,5,"Dined on January 15, 2024"
Marielle,"Love this place, so fun and great atmosphere! Love the photo ops",5,5,5,5,"Dined on January 15, 2024"
Reddyn,Good place to take out of town guests. Has an Instagram vibe to it. Small menu and drinks were ok. Good place to spend an hour and take fun pics.,4,3,4,5,"Dined on January 15, 2024"
RIdiner,"We went to have brunch for 2 to celebrate a birthday.   Theme was Pink AF brunch and it definitely brought the pink!  Pink decor, pink themed mini carousel, pink alcohol and non-alcohol drinks, and pink brunch items.  There was a regular brunch menu and a a menu with special pink brunch items.  The pink brunch items were over the top, including 2 of the most over the top items, in my opinion:  a super huge stack of extra large pink pancakes with pink cotton candy on top and a massively huge pink croissant.  I think a table of 5 would struggle to clean the plates of these 2 items - it is that much food!  The atmosphere was cute (and pink) and we saw several other diners get into the pink spirit with pink outfits which was super fun to see.  We ordered just the pancakes and they were very good but did not finish as there was only 2 of us.  The pancakes come with sides and my companion really enjoyed the apples. I would say the other sides were fair.  It would have been great to have real maple syrup - maybe with sparkles added!  The pink mocktail we had was delicious and beautiful.  The sever was pleasant too.  Overall we had a very nice experience.  I would note that if you have gone to other Tao group owned venues, this one is not quite as excellent as some of their other restaurant experiences - but I recommend that you keep in mind that the Magic Hour is a rooftop bar, so expectations should be adjusted for fine  dining.  It was a very fun experience and recommend going for an experience that is out of the norm.",4,4,4,4,"Dined on January 14, 2024"
shonettao,It’s a great place to go to for the aesthetic. The food was terrible. The pink AF croissant was hard and tasted nasty.,3,1,3,5,"Dined on January 14, 2024"
ErikaA,"My table was in front of the door to go outside, and it kept staying open I had to stand up to close it. Also if u have a table next to the door at lease you should have a heater next to the table in cold times.",1,4,4,3,"Dined on January 14, 2024"
OpenTable Diner,"Food was terrible. We choose the “crispy calamari”, and it came soft; the texture was off. Terrible. Truffle fries: where’s the truffle flavor, guys? Like… why??????? Service was bad too, very bad; people were all over the place, rushing the orders and making no sense. Multiple serves came to the table, no knowing that other had come; it seemed to me that they don’t communicate well. I really thought I was about to have a blast in that place, specifically because their marketing is amazing online… and btw, it looks different in person. Very different.",1,1,2,3,"Dined on January 13, 2024"
HollyV,Love the vibe! Wish I could see more from the rooftop,3,3,4,4,"Dined on January 11, 2024"
JohnF,"We had a good time, was a cool spot and the employees were very nice.",5,5,5,5,"Dined on January 10, 2024"
OpenTable Diner,Great place! Great atmosphere! Would definitely go back during the warmer months,5,5,5,5,"Dined on January 8, 2024"
Dora,"Amazing experience, the staff is so friendly and professional! Totally worth it 10/10",5,5,5,5,"Dined on January 7, 2024"
LeanneT,"Upon arrival we were shown to our table which displayed a very limited brunch menu.  I asked the waitress of this was the extent of the food available and was told yes that was it.  I had booked this dining experience with my husband and 7 year old daughter.  As I had booked for brunch and given that I had asked the question about the menu, I did not question this further.  We were disappointed in the limited choice but went with it.  We ordered the sharing pancake stack which was priced at $50.  None if us really wanted this but this was the best of the options available.  When it arrived, it consisted of a giant stack of dry pink pancakes with candy floss on top.  There were three small dishes of fruit and syrup on the side.  Despite it looking presentable, the food was barely edible.  We managed to eat half of one pancake each.  We then noticed other people ordering other food which was not on our menu.  When we asked again, we were told that we should have been informed of the other menu accessible via a QR code.  We were past ordering anything else.  We reluctantly paid the $50 plus bill and left disappointed.  We had spent an amazing 6 days in NY having travelled on New Years day from the UK.  This was supposed to be our final experience before leaving for the airport.  Very disappointing.  Would very definitely not recommend.",1,1,1,2,"Dined on January 7, 2024"
OpenTable Diner,"Setting was adorable with cute photo opps.  Food average but reasonably priced, service friendly but average.  Overall a very fun experience!",4,3,3,5,"Dined on January 7, 2024"
